suborder_code,undel,threepl,lqd
20546926094,(null),2016-11-11 19:51:31,(null)
21024016399,(null),2016-12-03 15:33:45,(null)
20329503805,(null),2016-11-12 15:40:58,(null)
20917295396,(null),2016-12-02 16:05:26,(null)
21030829313,(null),2016-12-02 17:57:13,(null)
20445599497,(null),2016-11-21 17:57:55,(null)
21120880015,(null),2016-12-08 18:12:49,(null)
21323687877,(null),2016-12-21 16:52:59,(null)
21112419703,(null),2016-12-12 17:35:10,(null)
20648904477,(null),2016-11-17 15:59:02,(null)
20204610193,(null),2016-11-09 18:53:24,(null)
19583566521,(null),2016-10-31 19:40:10,(null)
20340793485,(null),2016-11-09 20:32:51,(null)
21397037967,(null),2016-12-22 17:56:32,(null)
21167213255,(null),2016-12-08 16:46:38,(null)
20959708287,(null),2016-12-12 16:48:40,(null)
20703412917,(null),2016-11-24 16:19:30,(null)
20637417710,(null),2016-11-23 17:16:21,(null)
21615480062,(null),2016-12-23 17:20:13,(null)
20506164827,(null),2016-11-13 16:52:31,(null)
20855498375,(null),2016-11-24 14:13:47,(null)
20485096469,(null),2016-12-14 18:23:58,(null)
21036687584,(null),2016-11-28 17:41:33,(null)
21300279102,(null),2016-12-26 16:41:10,(null)
20978508158,(null),2016-12-03 16:16:06,(null)
21018691670,(null),2016-12-12 18:14:12,(null)
21003977485,(null),2016-12-01 14:37:33,(null)
20428558495,(null),2016-11-09 19:29:19,(null)
20733943963,(null),2016-11-19 16:58:50,(null)
20529203120,(null),2016-11-11 17:59:50,(null)
20727014262,(null),2016-11-24 18:44:56,(null)
21108532655,(null),2016-12-26 18:15:57,(null)
21551706505,(null),2016-12-24 17:14:51,(null)
21000361505,(null),2016-12-06 16:17:13,(null)
20334731464,(null),2016-11-12 18:58:51,(null)
20109457147,(null),2016-11-05 19:26:47,(null)
21138680639,(null),2016-12-13 17:32:20,(null)
20829438201,(null),2016-11-26 17:59:45,(null)
19266453624,(null),2016-10-14 19:13:34,(null)
21214991141,(null),2016-12-15 19:43:23,(null)
20985669867,(null),2016-12-06 16:23:27,(null)
19958403589,(null),2016-11-15 17:06:36,(null)
20794764216,(null),2016-11-23 17:16:27,(null)
21135424595,(null),2016-12-10 17:01:32,(null)
20447755776,(null),2016-11-13 18:05:01,(null)
20335377512,(null),2016-11-14 17:42:08,(null)
20421582567,(null),2016-11-14 18:51:10,(null)
20840728965,(null),2016-11-28 17:58:37,(null)
16757879596,(null),2016-11-09 18:48:05,(null)
19193096685,(null),2016-11-16 17:28:14,(null)
20161156265,(null),2016-11-12 17:48:18,(null)
20687795243,(null),2016-11-22 18:23:14,(null)
20871307992,(null),2016-11-25 16:20:26,(null)
19068237681,(null),2016-11-17 16:11:37,(null)
20804853631,(null),2016-11-21 17:22:08,(null)
21536935904,(null),2016-12-23 18:28:41,(null)
20536033137,(null),2016-11-14 08:57:15,(null)
19625844094,(null),2016-11-16 17:28:20,(null)
18907676461,(null),2016-11-10 16:02:05,(null)
20793486089,(null),2016-11-26 17:35:59,(null)
21059769687,(null),2016-12-08 18:23:10,(null)
20519192148,(null),2016-11-17 18:11:44,(null)
21158031537,(null),2016-12-16 19:06:42,(null)
19655538953,(null),2016-11-02 23:29:17,(null)
20594785987,(null),2016-11-15 23:21:49,(null)
19326995198,(null),2016-11-24 16:24:54,(null)
20645386791,(null),2016-11-17 15:39:33,(null)
19389128986,(null),2016-10-18 18:51:48,(null)
20450585329,(null),2016-11-28 17:59:44,(null)
20924683199,(null),2016-11-30 13:46:43,(null)
20865807113,(null),2016-11-22 18:17:34,(null)
20628446675,(null),2016-11-16 16:16:21,(null)
20438737401,(null),2016-11-17 20:52:28,(null)
20854157580,(null),2016-11-30 16:01:00,(null)
20319938542,(null),2016-11-13 18:47:17,(null)
20150711710,(null),2016-11-05 18:02:35,(null)
20294403079,(null),2016-11-07 16:05:43,(null)
20225617813,(null),2016-11-15 23:21:41,(null)
