19840807336,"	WPU","	,2016-10-14 08:58:38	,2016-10-14 09:44:35"
19840788907,"	WPU","	,2016-10-14 08:58:38	,2016-10-14 09:44:34"
19840788926,"	WPU","	,2016-10-14 08:58:38	,2016-10-14 09:44:34"
19840728934,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:33"
19840837342,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:33"
19840837351,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:40"
19840782091,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:40"
19840712078,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:39"
19840712111,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:39"
19840861617,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:38"
19840881585,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:38"
19840881605,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:38"
19840801629,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:37"
19840831599,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:37"
19837479418,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:37"
19840197913,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:36"
19840147906,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:36"
19840116840,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:35"
19842918286,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:35"
19842998268,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:34"
19839850742,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:34"
19841614836,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:34"
19842143254,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:34"
19842153265,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:33"
19842637550,"	WPU","	,2016-10-14 08:58:37	,2016-10-14 09:44:33"
19842657543,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:46"
19842617578,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:45"
19838167981,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:44"
19838158005,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:44"
19838137994,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:43"
19842516847,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:42"
19842556868,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:41"
19841535532,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:41"
19841555520,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:40"
19838095619,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:39"
19838045608,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:38"
19838015592,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:38"
19841802963,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:37"
19841872984,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:36"
19841177111,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:35"
19838275136,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:34"
19840681193,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:34"
19821663944,"	WPU","	,2016-10-14 08:58:36	,2016-10-14 09:44:33"
19753480971,"	WPU","	,2016-10-12 19:54:33	,2016-10-12 19:55:17"
19740348083,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:18"
19752958799,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:17"
19753303903,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:21"
19753201197,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:22"
19751901164,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:18"
19753248916,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:22"
19753215163,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:17"
19753029610,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:20"
19752797092,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:21"
19753295014,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:17"
19753327091,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:21"
19753139464,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:20"
19753264378,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:22"
19753370362,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:21"
19752918922,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:23"
19753406439,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:17"
19751939679,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:18"
19753475476,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:23"
19753431286,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:20"
19752248551,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:18"
19753286957,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:23"
19752833789,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:22"
19753364689,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:19"
19752356954,"	WPU","	,2016-10-12 19:54:32	,2016-10-12 19:55:21"
19753119362,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:17"
19753285683,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:07"
19753492361,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:20"
19753243843,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:17"
19752699255,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:07"
19753404194,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:19"
19753246503,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:23"
19753153336,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:22"
19752322196,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:19"
19753403817,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:24"
19752539095,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:05"
19753445619,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:14"
19751836370,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:17"
19752792565,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:18"
19753255396,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:14"
19753236308,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:05"
19753059833,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:25"
19753462789,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:19"
19753406758,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:02"
19753259720,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:20"
19753467647,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:26"
19753466550,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:03"
19753460172,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:20"
19753053532,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:04"
19753484875,"	WPU","	,2016-10-12 19:54:31	,2016-10-12 19:55:17"
19752971546,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:11"
19753313126,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:04"
19752402061,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:08"
19752583347,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:13"
19751882845,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:12"
19752530795,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:04"
19753461388,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:08"
19752448995,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:11"
19753442488,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:13"
19753399618,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:05"
19751999923,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:09"
19753455538,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:14"
19753205635,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:05"
19753014501,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:10"
19752202045,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:09"
19753427686,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:02"
19753294409,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:10"
19753351392,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:06"
19753341381,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:10"
19752180457,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:02"
19753467522,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:13"
19753318173,"	WPU","	,2016-10-12 19:54:30	,2016-10-12 19:55:07"
