20483076306	,OOS	,2016-11-25 22:10:16	,2016-11-25 22:10:16
20480978922	,OOS	,2016-11-25 22:10:16	,2016-11-25 22:10:16
20477330743	,OOS	,2016-11-25 22:10:16	,2016-11-25 22:10:16
20475533703	,OOS	,2016-11-25 22:10:16	,2016-11-25 22:10:16
20474695894	,OOS	,2016-11-25 22:10:15	,2016-11-25 22:10:15
20474343304	,OOS	,2016-11-25 22:10:15	,2016-11-25 22:10:15
20473156877	,OOS	,2016-11-25 22:10:15	,2016-11-25 22:10:15
20472922250	,OOS	,2016-11-25 22:10:15	,2016-11-25 22:10:15
20470509013	,OOS	,2016-11-25 22:10:14	,2016-11-25 22:10:15
20469822516	,OOS	,2016-11-25 22:10:13	,2016-11-25 22:10:14
20467049036	,OOS	,2016-11-25 22:10:13	,2016-11-25 22:10:13
20464850609	,OOS	,2016-11-25 22:10:13	,2016-11-25 22:10:13
20462210957	,OOS	,2016-11-25 22:10:13	,2016-11-25 22:10:13
20460538894	,OOS	,2016-11-25 22:10:12	,2016-11-25 22:10:12
20453077796	,OOS	,2016-11-25 22:10:12	,2016-11-25 22:10:12
20449415619	,OOS	,2016-11-25 22:10:12	,2016-11-25 22:10:12
20447384644	,OOS	,2016-11-25 22:10:12	,2016-11-25 22:10:12
20444762839	,OOS	,2016-11-25 22:10:11	,2016-11-25 22:10:12
20443756595	,OOS	,2016-11-25 22:10:11	,2016-11-25 22:10:11
20442750395	,OOS	,2016-11-25 22:10:11	,2016-11-25 22:10:11
20439474767	,OOS	,2016-11-25 22:10:11	,2016-11-25 22:10:11
20435009707	,OOS	,2016-11-25 22:10:11	,2016-11-25 22:10:11
20430110482	,OOS	,2016-11-25 22:10:10	,2016-11-25 22:10:10
20428390657	,OOS	,2016-11-25 22:10:10	,2016-11-25 22:10:10
20424047247	,OOS	,2016-11-25 22:10:08	,2016-11-25 22:10:10
20419799717	,OOS	,2016-11-25 22:10:08	,2016-11-25 22:10:08
